,Train_gene,Val_gene,Test_gene
0,"ZNRF4-sg2,ELF5,stk4-sg3,Rag1-sg1-4,IL2rg,Mettl14-sg1,Kat2a,Adgre1,Rag1,sry,EPHA2,ULK4-sg2,H2AB1-sg1,Ctnnb1,stk4-sg2,mHV5-sg7,DIRK,H2D1-sg1,Adam6,IL6,Dcbld2,MTAP,Mettl14-sg2,Mrgpra,H2AB1-sg2","IL7,PDL1","H2K1-sg2,IL5,H2D1-sg2"
1,"IL7,Rag1,sry,stk4-sg3,ZNRF4-sg2,EPHA2,H2AB1-sg2,MTAP,H2AB1-sg1,ELF5,H2D1-sg1,IL5,DIRK,stk4-sg2,mHV5-sg7,H2D1-sg2,IL6,Mettl14-sg2,H2K1-sg2,PDL1,Kat2a,Adgre1,Adam6,IL2rg,Dcbld2","Mrgpra,Mettl14-sg1","Rag1-sg1-4,ULK4-sg2,Ctnnb1"
2,"sry,stk4-sg3,ZNRF4-sg2,H2D1-sg1,IL5,Adgre1,Mrgpra,H2K1-sg2,EPHA2,stk4-sg2,H2AB1-sg1,Adam6,MTAP,Rag1,Mettl14-sg2,IL2rg,IL6,H2D1-sg2,IL7,ULK4-sg2,H2AB1-sg2,Kat2a,Rag1-sg1-4,Dcbld2,DIRK","Ctnnb1,ELF5","Mettl14-sg1,PDL1,mHV5-sg7"
3,"H2AB1-sg1,IL7,H2K1-sg2,Rag1,stk4-sg2,mHV5-sg7,H2AB1-sg2,Dcbld2,EPHA2,Mettl14-sg1,Mettl14-sg2,IL6,Rag1-sg1-4,IL5,H2D1-sg2,ELF5,Adgre1,stk4-sg3,Adam6,Ctnnb1,Kat2a,DIRK,ZNRF4-sg2,PDL1,ULK4-sg2","H2D1-sg1,Mrgpra","MTAP,sry,IL2rg"
4,"MTAP,stk4-sg3,Rag1-sg1-4,Mrgpra,IL6,PDL1,H2K1-sg2,sry,Mettl14-sg2,H2D1-sg2,Kat2a,Ctnnb1,Dcbld2,ZNRF4-sg2,stk4-sg2,EPHA2,ELF5,IL7,H2AB1-sg2,IL5,ULK4-sg2,H2AB1-sg1,Rag1,DIRK,IL2rg","mHV5-sg7,Mettl14-sg1","Adam6,Adgre1,H2D1-sg1"
5,"H2AB1-sg2,Rag1,MTAP,Adam6,H2D1-sg2,DIRK,IL6,mHV5-sg7,Adgre1,Ctnnb1,Mettl14-sg1,H2AB1-sg1,stk4-sg2,IL2rg,Dcbld2,ULK4-sg2,EPHA2,ELF5,IL5,Kat2a,ZNRF4-sg2,Rag1-sg1-4,H2K1-sg2,H2D1-sg1,PDL1","stk4-sg3,sry","Mettl14-sg2,Mrgpra,IL7"
6,"H2AB1-sg2,H2K1-sg2,Mrgpra,H2D1-sg1,Rag1-sg1-4,H2AB1-sg1,EPHA2,Mettl14-sg1,stk4-sg2,IL7,IL5,Dcbld2,PDL1,ELF5,Ctnnb1,H2D1-sg2,MTAP,DIRK,ZNRF4-sg2,IL2rg,mHV5-sg7,Mettl14-sg2,sry,Adgre1,ULK4-sg2","Adam6,IL6","stk4-sg3,Rag1,Kat2a"
7,"H2AB1-sg1,H2K1-sg2,IL6,Ctnnb1,Rag1,IL5,mHV5-sg7,Adgre1,Rag1-sg1-4,Dcbld2,EPHA2,Mettl14-sg1,MTAP,ULK4-sg2,H2AB1-sg2,H2D1-sg1,H2D1-sg2,IL7,DIRK,Mettl14-sg2,sry,Mrgpra,Kat2a,PDL1,stk4-sg3","IL2rg,Adam6","stk4-sg2,ELF5,ZNRF4-sg2"
8,"Kat2a,Rag1-sg1-4,IL7,stk4-sg3,Ctnnb1,sry,Adam6,mHV5-sg7,Adgre1,PDL1,H2D1-sg2,IL5,EPHA2,Mettl14-sg1,IL2rg,Dcbld2,ELF5,ULK4-sg2,MTAP,H2D1-sg1,ZNRF4-sg2,Rag1,H2K1-sg2,H2AB1-sg1,Mettl14-sg2","Mrgpra,stk4-sg2","IL6,DIRK,H2AB1-sg2"
9,"ULK4-sg2,Mettl14-sg2,H2D1-sg2,PDL1,IL5,Rag1-sg1-4,ZNRF4-sg2,mHV5-sg7,Rag1,H2AB1-sg2,sry,Ctnnb1,DIRK,H2K1-sg2,H2D1-sg1,stk4-sg3,Adgre1,IL2rg,IL7,IL6,ELF5,stk4-sg2,Kat2a,Mrgpra,Mettl14-sg1","MTAP,Adam6","Dcbld2,H2AB1-sg1,EPHA2"
