,Train_gene,Val_gene,Test_gene
0,"IL5,Kat2a,H2D1-sg2,IL2rg,Adgre1,sry,H2AB1-sg2,Rag1-sg1-4,PDL1,IL7,Dcbld2,stk4-sg3,Adam6,Mettl14-sg1,MTAP,ELF5,H2D1-sg1,stk4-sg2,DIRK,ZNRF4-sg2,Mrgpra,IL6,Ctnnb1,H2AB1-sg1","Mettl14-sg2,mHV5-sg7","H2K1-sg2,EPHA2,ULK4-sg2"
1,"Adam6,Mrgpra,PDL1,Mettl14-sg2,DIRK,H2K1-sg2,ELF5,mHV5-sg7,MTAP,ULK4-sg2,H2AB1-sg2,IL5,IL2rg,H2AB1-sg1,IL7,H2D1-sg2,sry,Rag1-sg1-4,H2D1-sg1,EPHA2,stk4-sg3,Kat2a,stk4-sg2,IL6","ZNRF4-sg2,Mettl14-sg1","Dcbld2,Adgre1,Ctnnb1"
2,"Mettl14-sg2,Rag1-sg1-4,ZNRF4-sg2,IL2rg,H2AB1-sg1,H2D1-sg1,IL7,PDL1,Mrgpra,IL5,IL6,Kat2a,EPHA2,Adgre1,ELF5,DIRK,Mettl14-sg1,stk4-sg3,Ctnnb1,H2K1-sg2,H2AB1-sg2,ULK4-sg2,stk4-sg2,Adam6","sry,Dcbld2","MTAP,mHV5-sg7,H2D1-sg2"
3,"Dcbld2,IL7,H2D1-sg1,IL5,H2AB1-sg2,Mrgpra,stk4-sg3,ULK4-sg2,EPHA2,Ctnnb1,Adgre1,ZNRF4-sg2,H2K1-sg2,MTAP,stk4-sg2,sry,Rag1-sg1-4,Kat2a,IL6,Adam6,IL2rg,H2D1-sg2,Mettl14-sg1,DIRK","mHV5-sg7,Mettl14-sg2","ELF5,H2AB1-sg1,PDL1"
4,"Ctnnb1,H2AB1-sg1,mHV5-sg7,sry,Rag1-sg1-4,ULK4-sg2,stk4-sg2,ZNRF4-sg2,PDL1,Mettl14-sg1,Dcbld2,ELF5,Adgre1,IL7,IL6,EPHA2,stk4-sg3,IL5,IL2rg,Adam6,DIRK,H2K1-sg2,MTAP,H2D1-sg2","Mrgpra,H2AB1-sg2","Mettl14-sg2,Kat2a,H2D1-sg1"
5,"ZNRF4-sg2,sry,H2K1-sg2,Adam6,Rag1-sg1-4,Mettl14-sg2,Mrgpra,Ctnnb1,Dcbld2,Kat2a,IL5,PDL1,ULK4-sg2,stk4-sg3,IL6,H2D1-sg1,Adgre1,EPHA2,mHV5-sg7,H2AB1-sg2,H2D1-sg2,MTAP,DIRK,ELF5","IL2rg,H2AB1-sg1","stk4-sg2,Mettl14-sg1,IL7"
6,"MTAP,mHV5-sg7,H2AB1-sg2,H2AB1-sg1,Dcbld2,Adgre1,EPHA2,ULK4-sg2,H2D1-sg1,ELF5,Kat2a,Mettl14-sg2,IL2rg,Ctnnb1,IL7,sry,stk4-sg2,DIRK,Adam6,Rag1-sg1-4,IL6,H2D1-sg2,PDL1,H2K1-sg2","IL5,Mettl14-sg1","stk4-sg3,ZNRF4-sg2,Mrgpra"
7,"Ctnnb1,DIRK,PDL1,H2D1-sg2,IL2rg,Dcbld2,Kat2a,Mettl14-sg1,H2D1-sg1,EPHA2,stk4-sg3,IL7,IL5,Adgre1,H2AB1-sg1,stk4-sg2,Mettl14-sg2,MTAP,ELF5,IL6,Mrgpra,ULK4-sg2,sry,H2K1-sg2","ZNRF4-sg2,mHV5-sg7","Adam6,Rag1-sg1-4,H2AB1-sg2"
8,"IL7,MTAP,Kat2a,Mettl14-sg1,Mettl14-sg2,Adam6,H2D1-sg2,stk4-sg3,stk4-sg2,Ctnnb1,Mrgpra,H2D1-sg1,ELF5,H2K1-sg2,H2AB1-sg2,IL5,Adgre1,mHV5-sg7,H2AB1-sg1,Rag1-sg1-4,ZNRF4-sg2,ULK4-sg2,EPHA2,sry","Dcbld2,PDL1","IL6,DIRK,IL2rg"
9,"ZNRF4-sg2,IL7,H2K1-sg2,Mrgpra,ULK4-sg2,Kat2a,mHV5-sg7,H2D1-sg1,IL6,Ctnnb1,Adgre1,Adam6,ELF5,H2D1-sg2,EPHA2,Dcbld2,Mettl14-sg2,Rag1-sg1-4,IL2rg,stk4-sg3,MTAP,Mettl14-sg1,H2AB1-sg1,stk4-sg2,H2AB1-sg2","DIRK,PDL1","IL5,sry"
