,Train_gene,Val_gene,Test_gene
0,"Mrgpra,Dcbld2,Adam6,EPHA2,Rag1,Rag1-sg1-4,H2AB1-sg2,Adgre1,H2AB1-sg1,stk4-sg2,ELF5,mHV5-sg7,IL6,IL7,sry,Mettl14-sg2,DIRK,stk4-sg3,Mettl14-sg1,PDL1,H2D1-sg1,ZNRF4-sg2,IL2rg,Kat2a,MTAP","ULK4-sg2,Ctnnb1","H2K1-sg2,IL5,H2D1-sg2"
1,"mHV5-sg7,H2AB1-sg1,sry,Adam6,H2D1-sg2,stk4-sg3,EPHA2,Rag1,ELF5,PDL1,Mettl14-sg1,Mettl14-sg2,IL2rg,H2D1-sg1,stk4-sg2,ZNRF4-sg2,IL5,Adgre1,IL7,Kat2a,Mrgpra,H2AB1-sg2,Dcbld2,IL6,MTAP","DIRK,H2K1-sg2","Rag1-sg1-4,ULK4-sg2,Ctnnb1"
2,"MTAP,IL5,Adam6,IL6,Ctnnb1,H2D1-sg2,Rag1-sg1-4,Mettl14-sg2,Rag1,H2K1-sg2,Mrgpra,DIRK,Dcbld2,ELF5,H2D1-sg1,H2AB1-sg1,ZNRF4-sg2,IL7,ULK4-sg2,stk4-sg2,Adgre1,sry,H2AB1-sg2,stk4-sg3,EPHA2","Kat2a,IL2rg","Mettl14-sg1,PDL1,mHV5-sg7"
3,"H2D1-sg2,Rag1-sg1-4,stk4-sg3,ULK4-sg2,Rag1,H2K1-sg2,IL6,Ctnnb1,H2AB1-sg2,IL7,PDL1,Mettl14-sg1,Adgre1,H2D1-sg1,IL5,Dcbld2,Kat2a,ELF5,H2AB1-sg1,Mettl14-sg2,ZNRF4-sg2,DIRK,EPHA2,Mrgpra,Adam6","mHV5-sg7,stk4-sg2","MTAP,sry,IL2rg"
4,"sry,PDL1,Mrgpra,Kat2a,ULK4-sg2,H2AB1-sg1,EPHA2,H2D1-sg2,DIRK,stk4-sg2,MTAP,IL5,mHV5-sg7,H2AB1-sg2,IL7,Rag1,ZNRF4-sg2,Mettl14-sg2,H2K1-sg2,ELF5,Dcbld2,Rag1-sg1-4,IL2rg,stk4-sg3,Mettl14-sg1","Ctnnb1,IL6","Adam6,Adgre1,H2D1-sg1"
5,"ZNRF4-sg2,stk4-sg3,IL6,DIRK,PDL1,sry,Mettl14-sg1,Ctnnb1,Rag1,Kat2a,Adam6,H2AB1-sg2,Adgre1,IL5,H2D1-sg1,IL2rg,ULK4-sg2,H2K1-sg2,ELF5,EPHA2,MTAP,H2D1-sg2,H2AB1-sg1,stk4-sg2,Dcbld2","Rag1-sg1-4,mHV5-sg7","Mettl14-sg2,Mrgpra,IL7"
6,"PDL1,H2D1-sg1,stk4-sg2,MTAP,Rag1-sg1-4,Adgre1,ULK4-sg2,IL7,sry,Mettl14-sg2,H2AB1-sg2,mHV5-sg7,Ctnnb1,DIRK,ZNRF4-sg2,IL6,ELF5,Adam6,H2AB1-sg1,Mrgpra,Mettl14-sg1,H2K1-sg2,IL2rg,Dcbld2,EPHA2","IL5,H2D1-sg2","stk4-sg3,Rag1,Kat2a"
7,"IL6,PDL1,IL2rg,ULK4-sg2,MTAP,Ctnnb1,H2D1-sg1,IL7,H2AB1-sg1,H2K1-sg2,mHV5-sg7,H2AB1-sg2,IL5,sry,Mettl14-sg1,EPHA2,H2D1-sg2,stk4-sg3,Mettl14-sg2,DIRK,Rag1,Adam6,Kat2a,Adgre1,Dcbld2","Rag1-sg1-4,Mrgpra","stk4-sg2,ELF5,ZNRF4-sg2"
8,"IL5,EPHA2,Adgre1,Mettl14-sg2,Mettl14-sg1,H2K1-sg2,H2D1-sg1,Mrgpra,mHV5-sg7,stk4-sg3,sry,Rag1,stk4-sg2,Rag1-sg1-4,MTAP,H2D1-sg2,IL2rg,ELF5,ZNRF4-sg2,Ctnnb1,Kat2a,ULK4-sg2,IL7,PDL1,Adam6","H2AB1-sg1,Dcbld2","IL6,DIRK,H2AB1-sg2"
9,"H2D1-sg2,DIRK,IL2rg,Rag1-sg1-4,PDL1,ZNRF4-sg2,IL6,stk4-sg3,H2AB1-sg2,ULK4-sg2,Mettl14-sg2,H2K1-sg2,Adgre1,mHV5-sg7,IL5,H2D1-sg1,IL7,Adam6,stk4-sg2,Ctnnb1,Mrgpra,sry,Rag1,Mettl14-sg1,ELF5","Kat2a,MTAP","Dcbld2,H2AB1-sg1,EPHA2"
