,Average_fs,Average_ins,TestSet,Average_Totalcount,FinetuneSet_n10,FinetuneSet_n30,FinetuneSet_n50,FinetuneSet_n100,FinetuneSet_n300,FinetuneSet_n500,FinetuneSet_n1000
Oligo1,0.8349065959453583,0.3560358764603734,False,60.0,False,False,False,False,False,False,False
Oligo2,0.36133692041039467,0.0,False,41.81818181818182,False,False,False,False,False,False,False
Oligo8,0.8257601499557495,0.3288689747452736,False,231.3636363636364,False,False,False,False,False,False,False
Oligo11,0.9225449442863465,0.031053618248552083,False,800.0909090909091,False,False,False,False,False,False,False
Oligo12,0.8648645877838135,0.2727513313293457,False,553.9090909090909,False,False,False,False,False,False,False
Oligo13,0.7343035697937011,0.016391343023860826,False,1821.2727272727277,False,False,False,False,False,False,True
Oligo14,0.803810304403305,0.5418373107910156,False,350.90909090909093,False,False,False,False,False,False,False
Oligo15,0.7276567041873931,0.02485833838582039,False,966.6363636363636,False,False,False,False,False,False,False
Oligo17,0.9049004733562469,0.6885711342096329,False,1096.090909090909,False,False,False,False,False,False,False
Oligo18,0.8614733159542084,0.34932891428470614,False,444.27272727272725,False,False,False,False,False,False,False
Oligo21,0.775201940536499,0.25458928272128106,False,471.3636363636364,False,False,False,False,False,False,False
Oligo22,0.8320851445198059,0.203202935308218,False,1018.2727272727273,False,False,False,False,False,False,False
Oligo23,0.47156438827514646,0.3115338131785393,False,112.27272727272728,False,False,False,False,False,False,False
Oligo26,0.9507363557815551,0.02010810822248459,False,49.36363636363637,False,False,False,False,False,False,False
Oligo31,0.6166018277406693,0.16800250113010406,False,71.72727272727273,False,False,False,False,False,False,False
Oligo32,0.26301708817481995,0.0,False,107.9090909090909,False,False,False,False,False,False,False
Oligo33,0.8225902557373047,0.13654265291988849,False,988.6363636363636,False,False,False,False,False,False,False
Oligo36,0.41013288497924805,0.09591944180428982,False,1234.4545454545455,False,False,False,False,False,False,False
Oligo37,0.8251180231571198,0.28432746082544325,True,1991.2727272727277,False,False,False,False,False,False,False
Oligo38,0.820163094997406,0.3356241248548031,False,198.27272727272728,False,False,False,False,False,False,False
Oligo40,0.6203163862228394,0.14715357534587384,False,391.1818181818182,False,False,False,False,False,False,False
Oligo44,0.8742725372314453,0.10104334726929665,False,102.1818181818182,False,False,False,False,False,False,False
Oligo45,0.8210684776306152,0.17555019930005072,False,158.8181818181818,False,False,False,False,False,False,False
Oligo46,0.6496908694505692,0.09940773695707321,False,105.63636363636364,False,False,False,False,False,False,False
Oligo47,0.9047557294368744,0.24478578120470046,False,99.63636363636364,False,False,False,False,False,False,False
Oligo50,0.7797008514404297,0.34645030796527865,False,395.0,False,False,False,False,False,False,False
Oligo51,0.7362584412097931,0.13339971229434014,False,962.7272727272727,False,False,False,False,False,False,False
Oligo52,0.8586456060409546,0.1376900039613247,False,88.0,False,False,False,False,False,False,False
Oligo54,0.8081876635551453,0.37869159281253817,False,325.8181818181818,False,False,False,False,False,False,False
Oligo55,0.9091255784034729,0.11191762536764145,False,79.36363636363636,False,False,False,False,False,False,False
Oligo57,0.8469069540500641,0.29245123639702797,False,218.54545454545453,False,False,False,False,False,False,False
Oligo58,0.3016169548034668,0.09285608045756817,False,1808.5454545454545,False,False,False,False,False,False,False
Oligo59,0.6305588364601136,0.07397844260558487,False,380.6363636363636,False,False,False,False,False,False,False
Oligo60,0.5799022674560547,0.27007350996136664,False,611.8181818181819,False,False,False,False,False,False,False
Oligo62,0.8046933948993683,0.21468680426478387,False,452.1818181818182,False,False,False,False,False,False,False
Oligo66,0.8445847511291504,0.3401132822036743,False,1634.2727272727273,False,False,False,False,False,False,False
Oligo67,0.7152346760034561,0.0,False,20.272727272727277,False,False,False,False,False,False,False
Oligo68,0.7539461433887482,0.1495196096599102,False,165.9090909090909,False,False,False,False,False,False,False
Oligo70,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo72,0.7651444137096405,0.10742131732404232,False,84.0,False,False,False,False,False,False,False
Oligo74,0.9090238690376282,0.44833087623119355,False,737.3636363636364,False,False,False,False,False,False,False
Oligo75,0.932965350151062,0.7406819581985473,False,2018.3636363636365,False,False,False,False,False,False,True
Oligo76,0.740623676776886,0.14157472141087055,False,31.818181818181817,False,False,False,False,False,False,False
Oligo77,0.31539065539836886,0.005560912936925888,False,120.1818181818182,False,False,False,False,False,False,False
Oligo81,0.3,0.0,False,2.0,False,False,False,False,False,False,False
Oligo82,0.6935894608497619,0.14542513899505138,False,103.0909090909091,False,False,False,False,False,False,False
Oligo86,0.7674425721168519,0.3877348467707634,False,1506.4545454545455,False,False,False,False,False,False,False
Oligo87,0.8703059613704681,0.4733049601316452,False,144.45454545454547,False,False,False,False,False,False,False
Oligo88,0.7998603940010071,0.14009824134409427,False,322.90909090909093,False,False,False,False,False,False,False
Oligo89,0.8758749425411224,0.47496452629566194,True,1624.8181818181818,False,False,False,False,False,False,False
Oligo91,0.6452036798000336,0.10651758909225464,False,43.90909090909091,False,False,False,False,False,False,False
Oligo92,0.8588765263557434,0.3902264147996902,False,89.54545454545455,False,False,False,False,False,False,False
Oligo93,0.8276636183261872,0.3055457003414631,False,133.36363636363637,False,False,False,False,False,False,False
Oligo96,0.6279712855815888,0.10277754701673984,False,1315.909090909091,False,False,False,False,False,False,False
Oligo97,0.8362299203872681,0.061579618602991104,True,4828.0,False,False,False,False,False,False,False
Oligo98,0.8184152752161026,0.0993749238550663,False,141.72727272727272,False,False,False,False,False,False,False
Oligo99,0.729911881685257,0.08708124496042728,False,214.63636363636363,False,False,False,False,False,False,False
Oligo101,0.843643194437027,0.0,False,39.54545454545455,False,False,False,False,False,False,False
Oligo103,0.7678155779838562,0.12545321322977543,False,376.6363636363636,False,False,False,False,False,False,False
Oligo110,0.4990399956703186,0.022666303999722005,False,332.72727272727275,False,False,False,False,False,False,False
Oligo112,0.8934572875499726,0.3109267704188824,False,130.1818181818182,False,False,False,False,False,False,False
Oligo117,0.6429544419050217,0.0437257238663733,False,220.0,False,False,False,False,False,False,False
Oligo118,0.7251010537147522,0.027135352115146817,False,922.4545454545456,False,False,False,False,False,False,False
Oligo119,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo122,0.6652276813983917,0.0,False,54.36363636363637,False,False,False,False,False,False,False
Oligo124,0.720421838760376,0.33512038737535477,False,309.90909090909093,False,False,False,False,False,False,False
Oligo125,0.9489507079124451,0.5909698486328125,False,629.4545454545455,False,False,False,False,False,False,False
Oligo127,0.8032635986804962,0.046133763063699006,False,94.45454545454544,False,False,False,False,False,False,False
Oligo129,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo132,0.6232519894838333,0.0,False,20.454545454545453,False,False,False,False,False,False,False
Oligo133,0.6632445693016052,0.039166071265935895,False,216.0909090909091,False,False,False,False,False,False,False
Oligo137,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo139,0.8587631285190582,0.49198536574840546,False,477.27272727272725,False,False,False,False,False,False,False
Oligo141,0.920426344871521,0.6791269481182098,False,579.8181818181819,False,False,False,False,False,False,False
Oligo145,0.9261311948299408,0.33749056831002233,False,322.54545454545456,False,False,False,False,False,False,False
Oligo146,0.1,0.1,False,7.0,False,False,False,False,False,False,False
Oligo151,0.1,0.0,False,0.5454545454545454,False,False,False,False,False,False,False
Oligo155,0.9385570049285888,0.6378749519586563,False,1608.090909090909,False,False,False,False,False,False,False
Oligo159,0.0,0.0,False,0.0,False,False,False,False,False,False,False
Oligo160,0.7283653855323792,0.0,False,11.454545454545457,False,False,False,False,False,False,False
