,Train_gene,Val_gene,Test_gene
0,"IL2rg,Adam6,Mettl14-sg1,H2D1-sg1,IL7,Dcbld2,DIRK,stk4-sg2,mHV5-sg7,H2AB1-sg1,IL6,Adgre1,MTAP,Rag1-sg1-4,ZNRF4-sg2,EPHA2,sry,Kat2a,stk4-sg3,Ctnnb1,H2AB1-sg2,ULK4-sg2,PDL1,ELF5,Mrgpra","Mettl14-sg2,Rag1","H2K1-sg2,IL5,H2D1-sg2"
1,"Mrgpra,mHV5-sg7,Mettl14-sg2,stk4-sg3,Rag1,H2AB1-sg2,PDL1,Mettl14-sg1,Adgre1,sry,IL2rg,IL6,DIRK,H2K1-sg2,stk4-sg2,IL7,H2D1-sg1,H2AB1-sg1,ZNRF4-sg2,MTAP,Dcbld2,H2D1-sg2,EPHA2,ELF5,IL5","Adam6,Kat2a","Rag1-sg1-4,ULK4-sg2,Ctnnb1"
2,"H2AB1-sg1,Rag1-sg1-4,DIRK,ZNRF4-sg2,IL6,EPHA2,stk4-sg2,H2K1-sg2,Mettl14-sg2,Rag1,H2AB1-sg2,Ctnnb1,ELF5,Mrgpra,Adam6,MTAP,IL5,H2D1-sg2,Adgre1,stk4-sg3,IL2rg,IL7,Dcbld2,Kat2a,ULK4-sg2","H2D1-sg1,sry","Mettl14-sg1,PDL1,mHV5-sg7"
3,"Rag1-sg1-4,H2AB1-sg1,Dcbld2,EPHA2,Rag1,Ctnnb1,Adgre1,H2K1-sg2,IL7,ZNRF4-sg2,ULK4-sg2,stk4-sg3,Mettl14-sg2,ELF5,Mettl14-sg1,mHV5-sg7,H2D1-sg2,H2AB1-sg2,Adam6,DIRK,PDL1,IL5,IL6,Mrgpra,Kat2a","H2D1-sg1,stk4-sg2","MTAP,sry,IL2rg"
4,"IL5,PDL1,IL7,Rag1,ELF5,Kat2a,H2AB1-sg2,ZNRF4-sg2,EPHA2,stk4-sg2,H2D1-sg2,Rag1-sg1-4,Mettl14-sg2,IL6,H2K1-sg2,mHV5-sg7,sry,Mettl14-sg1,ULK4-sg2,Ctnnb1,H2AB1-sg1,Dcbld2,MTAP,Mrgpra,stk4-sg3","IL2rg,DIRK","Adam6,Adgre1,H2D1-sg1"
5,"IL6,H2AB1-sg1,IL2rg,PDL1,IL5,H2D1-sg1,DIRK,Ctnnb1,mHV5-sg7,Mettl14-sg1,Dcbld2,H2AB1-sg2,MTAP,ZNRF4-sg2,Rag1-sg1-4,EPHA2,Rag1,Adgre1,ULK4-sg2,Adam6,stk4-sg2,H2K1-sg2,H2D1-sg2,ELF5,sry","Kat2a,stk4-sg3","Mettl14-sg2,Mrgpra,IL7"
6,"IL6,ZNRF4-sg2,H2K1-sg2,PDL1,Mrgpra,stk4-sg2,IL2rg,Mettl14-sg2,mHV5-sg7,H2AB1-sg2,DIRK,Adam6,Ctnnb1,ELF5,H2AB1-sg1,H2D1-sg1,H2D1-sg2,Rag1-sg1-4,Adgre1,Dcbld2,Mettl14-sg1,sry,ULK4-sg2,IL7,IL5","MTAP,EPHA2","stk4-sg3,Rag1,Kat2a"
7,"Kat2a,H2AB1-sg1,Rag1,ULK4-sg2,Ctnnb1,Mettl14-sg1,Mettl14-sg2,stk4-sg3,IL2rg,Dcbld2,MTAP,H2K1-sg2,H2AB1-sg2,Rag1-sg1-4,H2D1-sg2,IL5,DIRK,mHV5-sg7,IL6,sry,Adam6,Mrgpra,PDL1,Adgre1,H2D1-sg1","EPHA2,IL7","stk4-sg2,ELF5,ZNRF4-sg2"
8,"MTAP,EPHA2,ZNRF4-sg2,Mettl14-sg1,IL7,Rag1,Mettl14-sg2,H2AB1-sg1,Mrgpra,Adam6,ELF5,H2D1-sg2,sry,ULK4-sg2,IL5,Ctnnb1,Dcbld2,H2K1-sg2,stk4-sg3,IL2rg,Kat2a,mHV5-sg7,Rag1-sg1-4,Adgre1,H2D1-sg1","PDL1,stk4-sg2","IL6,DIRK,H2AB1-sg2"
9,"H2AB1-sg2,Kat2a,DIRK,MTAP,IL5,PDL1,IL2rg,sry,Adam6,Mrgpra,stk4-sg3,H2D1-sg1,IL7,Mettl14-sg2,ZNRF4-sg2,ULK4-sg2,Rag1-sg1-4,Ctnnb1,H2D1-sg2,stk4-sg2,ELF5,Rag1,mHV5-sg7,Adgre1,H2K1-sg2","IL6,Mettl14-sg1","Dcbld2,H2AB1-sg1,EPHA2"
